"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-01-01T08:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.58,"provisorisch"
"2026-01-01T08:00+0100","Zch_Heubeeribüel","T","h1","°C",-5.51,"provisorisch"
"2026-01-01T08:00+0100","Zch_Heubeeribüel","p","h1","hPa",944.21,"provisorisch"
"2026-01-01T08:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",84.02,"provisorisch"
"2026-01-01T08:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T08:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-5.63,"provisorisch"
"2026-01-01T08:00+0100","Zch_Rosengartenstrasse","WD","h1","°",226.37,"provisorisch"
"2026-01-01T08:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.24,"provisorisch"
"2026-01-01T08:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.04,"provisorisch"
"2026-01-01T08:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",965.25,"provisorisch"
"2026-01-01T08:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",76.21,"provisorisch"
"2026-01-01T08:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T08:00+0100","Zch_Schimmelstrasse","T","h1","°C",-4.02,"provisorisch"
"2026-01-01T08:00+0100","Zch_Schimmelstrasse","WD","h1","°",323.14,"provisorisch"
"2026-01-01T08:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.6,"provisorisch"
"2026-01-01T08:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.54,"provisorisch"
"2026-01-01T08:00+0100","Zch_Schimmelstrasse","p","h1","hPa",968.0,"provisorisch"
"2026-01-01T08:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",79.49,"provisorisch"
"2026-01-01T08:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
